"p","outcome"
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
0.0841493538928307,0
2.22044604925031e-16,0
2.22044604925031e-16,0
1.41704708080404e-10,0
0.978246414897863,0
1,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
1.85290948726932e-13,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
2.22044604925031e-16,0
