"","RF_Acc"
"A2ML1","0.00159012449000942"
"AADACL3","0.00222617428601318"
"AADAC","0.00318024898001883"
"ABCA10","0.139612930222827"
"ABCA8","0.0101767967360603"
"ABCA9","0.046113610210273"
"ABCB5","0.0104948216340621"
"ABCC13","0.00127209959200753"
"ABCD2","0.0133570457160791"
"ACACB","0.0152651951040904"
"ACADL","0.0225797677581337"
"ACSM2A","0.000636049796003766"
"ACSM5","0.00445234857202636"
"ACTL8","0.00222617428601318"
"ACVR1C","0.00254419918401506"
"ADH1A","0.0057244481640339"
"ADH1B","0.00508839836803013"
"ADH4","0.00604247306203578"
"ADIPOQ","0.000636049796003766"
"ADRA1A","0.0120849461240716"
"AIM1L","0.0467496600062768"
"ALAS2","0"
"ALDH1L1","0.0241698922481431"
"ANGPT4","0.0241698922481431"
"ANGPTL5","0.000636049796003766"
"ANGPTL7","0.100813892666597"
"ANLN","0.0356187885762109"
"AOC3","0.000636049796003766"
"APOB","0.00508839836803013"
"AQP7P1","0.00922272204205461"
"AQP7P3","0.00763259755204519"
"AQP7","0.000636049796003766"
"AQPEP","0.00763259755204519"
"ASCL1","0"
"ASPA","0.0197175436761167"
"ASPM","0.0448415106182655"
"ATOH8","0.170779370227011"
"ATP1A2","0.00731457265404331"
"ATP1A3","0.00159012449000942"
"B3GALT1","0.0454775604142693"
"BMP3","0.00286222408201695"
"BMPR1B","0.00318024898001883"
"BRSK2","0"
"BTNL9","0.167599121246992"
"BUB1","0.0890469714405273"
"C12orf39","0.00477037347002825"
"C13orf36","0.00445234857202636"
"C14orf180","0.00858667224605084"
"C14orf53","0.00254419918401506"
"C17orf93","0.00572444816403389"
"C1orf230","0.00318024898001883"
"C2orf40","0.205126059211215"
"C2orf54","0"
"C3orf50","0.0114488963280678"
"C6orf126","0.00159012449000942"
"CA3","0.00731457265404331"
"CA4","0.152651951040904"
"CA9","0.000636049796003766"
"CAMP","0.0057244481640339"
"CAPN9","0.00858667224605084"
"CAPSL","0.0057244481640339"
"CASP14","0"
"CBLN2","0.000318024898001883"
"CCL11","0.1520159012449"
"CCL24","0.00159012449000942"
"CCL7","0"
"CD177","0.00127209959200753"
"CD300LG","0.273183387383618"
"CD36","0.0155832200020923"
