"","Ridge"
"A2ML1","0"
"AADACL3","0"
"AADAC","0"
"ABCA10","0.562424546319151"
"ABCA8","0.434750157510638"
"ABCA9","0.466092775968802"
"ABCB5","0.493846198516312"
"ABCC13","0"
"ABCD2","0"
"ACACB","0.426437896856729"
"ACADL","0.446557309822821"
"ACSM2A","0"
"ACSM5","0"
"ACTL8","0"
"ACVR1C","0.377722489921243"
"ADH1A","0"
"ADH1B","0.402636353439051"
"ADH4","0.520368630076763"
"ADIPOQ","0"
"ADRA1A","0.376144125195804"
"AIM1L","0.40863374436376"
"ALAS2","0"
"ALDH1L1","0.421516167873957"
"ANGPT4","0.410874178228882"
"ANGPTL5","0"
"ANGPTL7","0.630649454010135"
"ANLN","0.511333158046344"
"AOC3","0"
"APOB","0"
"AQP7P1","0.376830933559926"
"AQP7P3","0"
"AQP7","0.411837873285187"
"AQPEP","0"
"ASCL1","0"
"ASPA","0.413468266404999"
"ASPM","0.510450538596678"
"ATOH8","0.526678256987491"
"ATP1A2","0.462595717941556"
"ATP1A3","0"
"B3GALT1","0.641343307948225"
"BMP3","0"
"BMPR1B","0.389499038254205"
"BRSK2","0"
"BTNL9","0.496287608302461"
"BUB1","0.493134446560972"
"C12orf39","0"
"C13orf36","0.414894767636909"
"C14orf180","0.369220557439644"
"C14orf53","0"
"C17orf93","0"
"C1orf230","0"
"C2orf40","0.615730983954653"
"C2orf54","0"
"C3orf50","0.389228995933634"
"C6orf126","0.400722034903204"
"CA3","0.400155802348167"
"CA4","0.523442879199489"
"CA9","0"
"CAMP","0"
"CAPN9","0.418715464068577"
"CAPSL","0"
"CASP14","0"
"CBLN2","0"
"CCL11","0.581732246028034"
"CCL24","0"
"CCL7","0"
"CD177","0"
"CD300LG","0.522650762327626"
"CD36","0.406117239296346"
"CDC20B","0"
"CDC20","0.474230016133746"
"CDC25C","0.489472471058271"
"CDH20","0"
"CDO1","0.415251889328307"
"CEACAM5","0.446150335772914"
"CEACAM6","0.42471826676377"
"CELF3","0"
"CENPA","0.458659524644421"
"CENPF","0.509375530824569"
"CEP55","0.505064596809589"
"CES1","0.450405406077729"
"CFD","0.425133384758415"
"CGA","0"
"CHRDL1","0.451714416530886"
"CHRNA6","0.533681324811779"
"CHRNA9","0"
"CIB3","0"
"CIDEA","0"
"CIDEC","0.373423397438243"
"CILP2","0.684787087911562"
"CKAP2L","0.469868940280435"
"CLCA4","0.59717258905567"
"CLDN19","0.594493236594365"
"CLEC3A","0"
"CLEC3B","0.494677866342546"
"CLEC4GP1","0.472216743603628"
"CLEC4G","0.393279434581639"
"CLEC5A","0.525230906908588"
"CNGA2","0"
"CNIH2","0.482535082329971"
"CNN1","0.612706025177925"
"CNTNAP2","0.392750644012509"
"COL10A1","0.738292011019284"
"COL11A1","0.653898366563719"
"COMP","0.69998841957964"
"CPA1","0.431488426711153"
"CPA2","0"
"CPLX2","0"
"CRHBP","0"
"CSAG1","0"
"CSAG2","0"
"CSAG3","0"
"CSF3","0"
"CSMD3","0"
"CSN1S1","0"
"CSN2","0"
"CSN3","0"
"CST1","0.574309109717761"
"CST2","0.59749693548778"
"CST4","0.484099101526868"
"CST5","0"
"CXADRP3","0"
"CXCL10","0.439215192657896"
"CXCL11","0.45993229915538"
"CXCL2","0.626005342239233"
