"","Median"
"A2ML1","0"
"AADACL3","0"
"AADAC","0"
"ABCA10","0.851698806244261"
"ABCA8","0.851698806244261"
"ABCA9","0.851698806244261"
"ABCB5","0.851698806244261"
"ABCC13","0"
"ABCD2","0.851698806244261"
"ACACB","0.851698806244261"
"ACADL","0.851698806244261"
"ACSM2A","0.851698806244261"
"ACSM5","0.851698806244261"
"ACTL8","0"
"ACVR1C","0.851698806244261"
"ADH1A","0.851698806244261"
"ADH1B","0.851698806244261"
"ADH4","0.851698806244261"
"ADIPOQ","0.851698806244261"
"ADRA1A","0.851698806244261"
"AIM1L","0.851698806244261"
"ALAS2","0"
"ALDH1L1","0.851698806244261"
"ANGPT4","0.851698806244261"
"ANGPTL5","0"
"ANGPTL7","0.851698806244261"
"ANLN","0.851698806244261"
"AOC3","0.851698806244261"
"APOB","0.851698806244261"
"AQP7P1","0.851698806244261"
"AQP7P3","0.851698806244261"
"AQP7","0.851698806244261"
"AQPEP","0.851698806244261"
"ASCL1","0"
"ASPA","0.851698806244261"
"ASPM","0.851698806244261"
"ATOH8","0.851698806244261"
"ATP1A2","0.851698806244261"
"ATP1A3","0"
"B3GALT1","0.851698806244261"
"BMP3","0.851698806244261"
"BMPR1B","0"
"BRSK2","0"
"BTNL9","0.851698806244261"
"BUB1","0.851698806244261"
"C12orf39","0.851698806244261"
"C13orf36","0.851698806244261"
"C14orf180","0.851698806244261"
"C14orf53","0"
"C17orf93","0"
"C1orf230","0"
"C2orf40","0.851698806244261"
"C2orf54","0"
"C3orf50","0.851698806244261"
"C6orf126","0"
"CA3","0.851698806244261"
"CA4","0.851698806244261"
"CA9","0"
"CAMP","0"
"CAPN9","0"
"CAPSL","0"
"CASP14","0"
"CBLN2","0"
"CCL11","0.851698806244261"
"CCL24","0"
"CCL7","0"
"CD177","0"
"CD300LG","0.851698806244261"
"CD36","0.851698806244261"
"CDC20B","0"
"CDC20","0.851698806244261"
"CDC25C","0.851698806244261"
"CDH20","0"
"CDO1","0.851698806244261"
"CEACAM5","0"
"CEACAM6","0"
"CELF3","0"
"CENPA","0.851698806244261"
"CENPF","0.851698806244261"
"CEP55","0.851698806244261"
"CES1","0.851698806244261"
"CFD","0.851698806244261"
"CGA","0"
"CHRDL1","0.851698806244261"
"CHRNA6","0.851698806244261"
"CHRNA9","0"
"CIB3","0"
"CIDEA","0.851698806244261"
"CIDEC","0.851698806244261"
"CILP2","0.851698806244261"
"CKAP2L","0.851698806244261"
"CLCA4","0.851698806244261"
"CLDN19","0.851698806244261"
"CLEC3A","0"
"CLEC3B","0.851698806244261"
"CLEC4GP1","0.851698806244261"
"CLEC4G","0"
"CLEC5A","0.851698806244261"
"CNGA2","0"
"CNIH2","0.851698806244261"
"CNN1","0.851698806244261"
"CNTNAP2","0"
"COL10A1","0.851698806244261"
"COL11A1","0.851698806244261"
"COMP","0.851698806244261"
"CPA1","0.851698806244261"
"CPA2","0"
"CPLX2","0"
"CRHBP","0.851698806244261"
"CSAG1","0"
"CSAG2","0"
"CSAG3","0"
"CSF3","0"
"CSMD3","0"
"CSN1S1","0"
"CSN2","0"
"CSN3","0"
"CST1","0.851698806244261"
"CST2","0"
"CST4","0.851698806244261"
"CST5","0"
"CXADRP3","0"
"CXCL10","0"
"CXCL11","0"
